產品,賣點,目標客群,語氣,通路
原味吐司,賣點-03,目標客群-10,語氣-05,電商
鮮奶茶,賣點-03,目標客群-09,語氣-04,電商
湯包,賣點-03,目標客群-07,語氣-04,官網
泡芙,賣點-04,目標客群-03,語氣-01,官網
氣泡飲,賣點-10,目標客群-07,語氣-07,批發
堅果包,賣點-11,目標客群-12,語氣-02,官網
氣泡飲,賣點-03,目標客群-02,語氣-08,外送
能量棒,賣點-10,目標客群-04,語氣-03,外送
沙拉醬,賣點-12,目標客群-08,語氣-07,電商
豆漿,賣點-04,目標客群-11,語氣-10,批發
冷凍水餃,賣點-07,目標客群-03,語氣-07,電商
堅果包,賣點-03,目標客群-02,語氣-06,外送
鮮乳,賣點-02,目標客群-01,語氣-03,門市
泡芙,賣點-02,目標客群-05,語氣-10,外送
滷味包,賣點-09,目標客群-12,語氣-09,電商
冷凍水餃,賣點-05,目標客群-05,語氣-07,電商
鮮乳,賣點-02,目標客群-03,語氣-07,電商
鮮乳,賣點-08,目標客群-01,語氣-04,門市
布丁,賣點-08,目標客群-05,語氣-03,外送
能量棒,賣點-10,目標客群-10,語氣-01,外送
湯包,賣點-09,目標客群-05,語氣-05,外送
鮮乳,賣點-07,目標客群-12,語氣-10,電商
布丁,賣點-08,目標客群-09,語氣-06,直營
湯包,賣點-01,目標客群-10,語氣-12,批發
鮮乳,賣點-02,目標客群-06,語氣-12,電商
布丁,賣點-06,目標客群-06,語氣-08,批發
沙拉醬,賣點-05,目標客群-02,語氣-08,電商
堅果包,賣點-12,目標客群-02,語氣-07,外送
氣泡飲,賣點-09,目標客群-07,語氣-03,門市
堅果包,賣點-06,目標客群-07,語氣-06,電商
巧克力餅乾,賣點-05,目標客群-06,語氣-11,門市
鮮乳,賣點-12,目標客群-03,語氣-07,外送
